Gene	SeqId	Protein..short.name.	UniProt	Ensembl.Gene.ID	Chr	Start	End
LILRA4	8299_66	LIRA4	P59901	ENSG00000262284	19	54333184	54339150
LILRA5	7787_25	LIRA5	A6NI73	ENSG00000262800	19	54307069	54313139
LILRA5	8766_29	LIRA5	A6NI73	ENSG00000262800	19	54307069	54313139
LILRA6	7059_14	LIRA6	Q6PI73	ENSG00000244482	19	54236591	54242791
LILRB1	5090_49	ILT-2	Q8NHL6	ENSG00000104972	19	54617157	54637528
LILRB2	5091_28	ILT-4	Q8N423	ENSG00000131042	19	54273820	54281184
LILRB3	11334_7	LIRB3	O75022	ENSG00000262087	19	54216277	54223506
LILRB3	15615_8	LIRB3	O75022	ENSG00000262087	19	54216277	54223506
LILRB4	6453_70	LIRB4	Q8NHJ6	ENSG00000186818	19	54643888	54670359
LILRB5	7015_8	LIRB5	O75023	ENSG00000105609	19	54249430	54257301
LIMA1	11543_84	LIMA1	Q9UHB6	ENSG00000050405	12	50175787	50283546
LIN7A	18910_45	LIN7A	O14910	ENSG00000111052	12	80792519	80937925
LIN7B	15612_5	LIN7B	Q9HAP6	ENSG00000104863	19	49114323	49118460
LIN7C	12986_12	LIN7C	Q9NUP9	ENSG00000148943	11	27494575	27506773
LINGO1	6620_82	LIGO1	Q96FE5	ENSG00000169783	15	77613026	77820900
LINGO3	10827_67	LIGO3	P0C6S8	ENSG00000220008	19	2289783	2292024
LIPK	6413_79	LIPK	Q5VXJ0	ENSG00000204021	10	88724543	88752786
LIPN	8097_77	LIPN	Q5VXI9	ENSG00000204020	10	88761405	88778242
LMAN1	15688_30	Mannose-binding lectin	P49257	ENSG00000074695	18	59327822	59359962
LMAN2	7638_30	"Lectin, mannose-binding 2"	Q12907	ENSG00000169223	5	177331561	177351852
LMAN2	9468_8	"Lectin, mannose-binding 2"	Q12907	ENSG00000169223	5	177331561	177351852
LMAN2L	8013_9	LMA2L	Q9H0V9	ENSG00000114988	2	96705928	96740064
LMNB1	3889_64	Lamin-B1	P20700	ENSG00000113368	5	126776622	126837020
LMOD1	12504_26	LMOD1	P29536	ENSG00000163431	1	201896451	201946588
LNX1	9936_27	LNX1	Q8TBB1	ENSG00000072201	4	53459300	53701405
LONP1	6398_12	LONM	P36776	ENSG00000196365	19	5691833	5720572
LOXL2	6504_65	Lysyl oxidase-like protein 2	Q9Y4K0	ENSG00000134013	8	23297188	23425328
LOXL3	15427_35	LOXL3	P58215	ENSG00000115318	2	74532413	74555690
LPCAT2	11175_45	PCAT2	Q7L5N7	ENSG00000087253	16	55508997	55586670
LPO	4801_13	PERL	P22079	ENSG00000167419	17	58218547	58268518
LRCH4	11252_30	LRCH4	O75427	ENSG00000077454	7	100574010	100586153
LRFN1	7910_41	LRFN1	Q9P244	ENSG00000128011	19	39306567	39315336
LRFN2	7200_4	LRFN2	Q9ULH4	ENSG00000156564	6	40391585	40587465
LRFN5	6587_6	LRFN5	Q96NI6	ENSG00000165379	14	41607569	41904549
LRIG1	18831_6	LRIG1	Q96JA1	ENSG00000144749	3	66378796	66501263
LRIG3	3322_52	LRIG3	Q6UXM1	ENSG00000139263	12	58872148	58920522
LRIT2	11716_28	LRIT2	A6NDA9	ENSG00000204033	10	84220494	84225589
LRIT3	11534_6	LRIT3	Q3SXY7	ENSG00000183423	4	109848201	109872315
LRMP	10704_91	LRMP	Q12912	ENSG00000118308	12	25004341	25108334
LRP1	9182_3	sLRP1	Q07954	ENSG00000123384	12	57128492	57213351
LRP1	10699_52	LRP1	Q07954	ENSG00000123384	12	57128492	57213351
LRP1	8601_167	sLRP1	Q07954	ENSG00000123384	12	57128492	57213351
LRP10	16610_13	LRP10	Q7Z4F1	ENSG00000197324	14	22871612	22881580
LRP11	15472_16	LRP11	Q86VZ4	ENSG00000120256	6	149818797	149864026
LRP11	6713_4	LRP11	Q86VZ4	ENSG00000120256	6	149818797	149864026
LRP12	15506_34	LRP12	Q9Y561	ENSG00000147650	8	104489230	104589024
LRP1B	11275_94	LRP1B	Q9NZR2	ENSG00000168702	2	140231422	142131701
LRP2	10618_190	megalin	P98164	ENSG00000081479	2	169127108	169362685
LRP4	19558_10	LRP4	O75096	ENSG00000134569	11	46856867	46918642
LRP8	3323_37	LRP8	Q14114	ENSG00000157193	1	53242363	53328070
LRPAP1	3640_14	RAP	P30533	ENSG00000163956	4	3506375	3532559
LRRC15	6557_50	LRC15	Q8TF66	ENSG00000172061	3	194355246	194369743
LRRC24	9989_12	LRC24	Q50LG9	ENSG00000254402	8	144522376	144527032
LRRC25	9317_4	LRC25	Q8N386	ENSG00000175489	19	18391143	18397617
LRRC3	6917_49	LRRC3	Q9BY71	ENSG00000160233	21	44455485	44462196
LRRC32	7551_33	LRC32	Q14392	ENSG00000137507	11	76657523	76670747
LRRC37A2	8897_3	L37A2	A6NM11	ENSG00000238083	17	46511510	46555650
LRRC3B	18947_3	LRC3B	Q96PB8	ENSG00000179796	3	26622805	26710776
LRRC4B	11911_13	LRC4B	Q9NT99	ENSG00000131409	19	50516891	50568045
LRRC4B	9916_146	LRC4B	Q9NT99	ENSG00000131409	19	50516891	50568045
LRRC4C	9369_174	NGL1	Q9HCJ2	ENSG00000148948	11	40114202	41459773
LRRC52	10785_8	LRC52	Q8N7C0	ENSG00000162763	1	165544006	165563961
LRRC59	19163_26	LRC59	Q96AG4	ENSG00000108829	17	50375058	50397553
LRRC74A	8389_8	CN16B	Q0VAA2	ENSG00000100565	14	76826372	76870304
LRRK2	10990_21	LRRK2	Q5S007	ENSG00000188906	12	40196743	40369285
LRRN1	11293_14	LRRN1	Q6UXK5	ENSG00000175928	3	3799436	3847703
LRRTM1	19360_22	LRRT1	Q86UE6	ENSG00000162951	2	80288350	80304749
LRRTM2	6904_14	LRRT2	O43300	ENSG00000146006	5	138868922	138875368
LRRTM3	4453_83	LRRT3	Q86VH5	ENSG00000198739	10	66926005	67099830
LRRTM4	8646_61	LRRT4	Q86VH4	ENSG00000176204	2	76747718	77593319
LRRTM4	6572_10	LRRT4	Q86VH4	ENSG00000176204	2	76747718	77593319
LRTM1	9368_64	LRTM1	Q9HBL6	ENSG00000144771	3	54918236	54967088
LRTM2	8906_60	LRTM2	Q8N967	ENSG00000166159	12	1820266	1836752
LSAMP	2999_6	LSAMP	Q13449	ENSG00000185565	3	115802362	117139389
LSM1	17795_176	LSM1	O15116	ENSG00000175324	8	38163320	38176730
LSM4	16854_17	LSM4	Q9Y4Z0	ENSG00000130520	19	18306229	18323274
LST1	9531_24	LST1	O00453	ENSG00000234514	6	31586123	31588909
LTA	4703_87	TNF-b	P01374	ENSG00000226979	6	31572053	31574324
LTA|LTB	3506_49	Lymphotoxin a2/b1	P01374|Q06643	ENSG00000226979|ENSG00000231314	X	NA	NA
LTA|LTB	3505_6	Lymphotoxin a1/b2	P01374|Q06643	ENSG00000226979|ENSG00000231314	X	NA	NA
LTA4H	3204_2	LKHA4	P09960	ENSG00000111144	12	96000827	96043520
LTB4R	13477_65	LT4R1	Q15722	ENSG00000213903	14	24311449	24318036
LTBP4	13133_73	LTBP4	Q8N2S1	ENSG00000090006	19	40592882	40629818
LTBR	2636_10	Lymphotoxin b R	P36941	ENSG00000111321	12	6375044	6391571
LTF	2780_35	Lactoferrin	P02788	ENSG00000012223	3	46435644	46485234
LUM	13114_50	Lumican	P51884	ENSG00000139329	12	91102628	91111831
LY6G6C	6256_9	LY66C	O95867	ENSG00000235925	6	31718647	31721845
LY6G6D	6469_62	LY66D	O95868	ENSG00000236902	6	31715355	31717804
LY75	16620_26	LY75	O60449	ENSG00000054219	2	159803354	159904749
LY86	3623_84	LY86	O95711	ENSG00000112799	6	6588107	6654983
LY9	3324_51	LY9	Q9HBG7	ENSG00000122224	1	160796073	160828261
LYG1	9243_10	LYG1	Q8N1E2	ENSG00000144214	2	99284237	99304742
LYG2	15416_54	LYG2	Q86SG7	ENSG00000185674	2	99242245	99255282
LYN	3381_24	LYNB	P07948	ENSG00000249529	8	55879812	56014168
LYN	3453_87	LYN	P07948	ENSG00000249529	8	55879812	56014168
LYPD1	9327_3	LYPD1	Q8N2G4	ENSG00000150551	2	132644852	132671579
LYPD3	13107_9	LYPD3	O95274	ENSG00000124466	19	43460786	43465660
LYPLAL1	12428_2	LYPL1	Q5VWZ2	ENSG00000143353	1	219173843	219212865
LYSMD3	10563_13	LYSM3	Q7Z3D4	ENSG00000176018	5	90515610	90529584
LYSMD4	9106_87	LYSM4	Q5XG99	ENSG00000183060	15	99715696	99733561
LYVE1	3206_4	LYVE1	Q9Y5Y7	ENSG00000133800	11	10556965	10611689
LYZ	4920_10	Lysozyme	P61626	ENSG00000090382	12	69348340	69354234
LYZL2	6377_54	LYZL2	Q7Z4W2	ENSG00000151033	10	30611778	30629762
LZIC	19338_3	LZIC	Q8WZA0	ENSG00000162441	1	9922112	9943407
MACROD1	13653_335	MACD1	Q9BQ69	ENSG00000133315	11	63998557	64166106
MAD1L1	13618_15	MD1L1	Q9Y6D9	ENSG00000002822	7	1815792	2233243
MAD2L1	15313_28	MD2L1	Q13257	ENSG00000164109	4	120055607	120067074
MADCAM1	11258_41	MAdCAM-1	Q13477	ENSG00000099866	19	489175	505342
MAFG	19281_86	MAFG	O15525	ENSG00000197063	17	81918269	81927714
MAGEA10	13610_9	MAGE-10	P43363	ENSG00000124260	X	152133310	152138578
MAGEA3	12576_21	MAGE-3	P43357	ENSG00000221867	X	152698767	152702347
MAGEA4	10485_56	MAGE-4	P43358	ENSG00000147381	X	151912495	151925171
MAGEA5	18192_69	MAGE-5	P43359	ENSG00000249670	X	NA	NA
MAGEA6	18205_123	MAGE-6	P43360	ENSG00000197172	X	152766136	152769716
MAGEA8	18326_50	MAGA8	P43361	ENSG00000156009	X	149881141	149885835
MAGEB10	11456_2	MAGBA	Q96LZ2	ENSG00000177689	X	27807990	27823014
MAGI2	14066_49	MAGI2	Q86UL8	ENSG00000187391	7	78017056	79453574
MAGOHB	16875_13	MGN2	Q96A72	ENSG00000111196	12	10604189	10613623
MAMDC2	6119_14	MAMC2	Q7Z304	ENSG00000165072	9	70043580	70226970
MAN1A2	9077_10	MA1A2	O60476	ENSG00000198162	1	117367448	117528872
MAN1B1	7071_23	MA1B1	Q9UKM7	ENSG00000177239	9	137086926	137109187
MAN1C1	13427_66	MA1C1	Q9NR34	ENSG00000117643	1	25617467	25786207
MAN2B2	9251_28	MA2B2	Q9Y2E5	ENSG00000013288	4	6575174	6623362
MANBA	6382_17	MANBA	O00462	ENSG00000109323	4	102631487	102760994
MANEA	8014_359	MANEA	Q5SRI9	ENSG00000172469	6	95577542	95609457
MANF	9223_11	ARMET	P55145	ENSG00000145050	3	51385046	51389397
MANSC1	9557_5	MANS1	Q9H8J5	ENSG00000111261	12	12326055	12350541
MANSC4	9578_263	MANS4	A6NHS7	ENSG00000205693	12	27762737	27771276
MAP1LC3A	17781_191	MLP3A	Q9H492	ENSG00000101460	20	34546853	34560345
MAP1LC3B	11608_5	MLP3B	Q9GZQ8	ENSG00000140941	16	87383994	87404779
MAP2K1	2864_2	MEK1	Q02750	ENSG00000169032	15	66386816	66492312
MAP2K2	3628_3	MP2K2	P36507	ENSG00000126934	19	4090320	4124129
MAP2K3	6151_18	MP2K3	P46734	ENSG00000034152	17	21284671	21315240
MAP2K4	5242_37	MP2K4	P45985	ENSG00000065559	17	12020823	12143830
MAP2K6	17175_5	MP2K6	P52564	ENSG00000108984	17	69414697	69543331
MAP3K3	12990_39	MAP3K3	Q99759	ENSG00000198909	17	63622414	63696303
MAP3K7|TAB1	5259_2	TAK1-TAB1	O43318|Q15750	ENSG00000135341|ENSG00000100324	X	NA	NA
MAP4K1	8954_30	M4K1	Q92918	ENSG00000104814	19	38587640	38618882
MAP4K3	8978_30	M4K3	Q8IVH8	ENSG00000011566	2	39249265	39437312
MAPK1	3115_64	MK01	P28482	ENSG00000100030	22	21754499	21867680
MAPK10	15418_25	MK10	P53779	ENSG00000109339	4	85990006	86594625
MAPK11	5004_69	MK11	Q15759	ENSG00000185386	22	50263712	50270767
MAPK12	5005_4	MK12	P53778	ENSG00000188130	22	50245449	50261825
MAPK13	5006_71	MK13	O15264	ENSG00000156711	6	36127808	36144524
MAPK14	5007_1	MAPK14	Q16539	ENSG00000112062	6	36027676	36111236
MAPK3	2855_49	ERK-1	P27361	ENSG00000102882	16	30114104	30123506
MAPK8	3825_18	MK08	P45983	ENSG00000107643	10	48306638	48439360
MAPK9	15604_18	JNK2	P45984	ENSG00000050748	5	180233142	180292099
MAPKAPK2	3820_68	MAPK2	P49137	ENSG00000162889	1	206684943	206734283
MAPKAPK3	3822_54	MAPKAPK3	Q16644	ENSG00000114738	3	50611519	50649297
MAPKAPK5	3821_28	MAPK5	Q8IW41	ENSG00000089022	12	111841977	111902238
MAPKAPK5	8382_47	MAPK5	Q8IW41	ENSG00000089022	12	111841977	111902238
MAPRE1	12469_19	MARE1	Q15691	ENSG00000101367	20	32819892	32850405
MAPRE2	16856_79	MARE2	Q15555	ENSG00000166974	18	34976927	35143470
MAPRE3	16885_49	MARE3	Q9UPY8	ENSG00000084764	2	26970611	27027196
MAPT	5854_60	tau	P10636	ENSG00000186868	17	45894381	46028334
MARCKSL1	19175_18	MARCKSL1	P49006	ENSG00000175130	1	32333831	32336379
MARCO	9003_99	MARCO	Q9UEW3	ENSG00000019169	2	118942165	118994660
MARK3	9747_48	MARK3	P27448	ENSG00000075413	14	103385391	103503831
MASP1	3605_77	MASP3	P48740	ENSG00000127241	3	187217284	187292022
MASP1	9125_23	MASP3	P48740	ENSG00000127241	3	187217284	187292022
MAT2B	18392_19	MAT2B	Q9NZL9	ENSG00000038274	5	163503113	163519336
MATK	3823_9	MATK	P42679	ENSG00000007264	19	3777969	3802129
MATN2	3325_2	MATN2	O00339	ENSG00000132561	8	97868839	98036716
MATN3	19361_78	MATN3	O15232	ENSG00000132031	2	19992110	20012694
MATN4	7083_74	MATN4	O95460	ENSG00000124159	20	45293444	45308529
MAX	12411_60	MAX	P61244	ENSG00000125952	14	65006173	65102695
MAZ	13436_54	MAZ	P56270	ENSG00000103495	16	29806105	29811164
MB	3042_7	Myoglobin	P02144	ENSG00000198125	22	35606763	35637951
MBD1	14294_61	MBD1	Q9UIS9	ENSG00000141644	18	50266881	50281774
MBD4	3891_56	MBD4	O95243	ENSG00000129071	3	129430943	129440179
MBL2	3000_66	MBL	P11226	ENSG00000165471	10	52765379	52771700
MBTPS1	7240_2	MBTP1	Q14703	ENSG00000140943	16	84053760	84116906
MCCD1	8032_23	MCCD1	P59942	ENSG00000231975	6	31528716	31530232
MCEE	9388_18	MCEE	Q96PE7	ENSG00000124370	2	71109683	71130239
MCEMP1	6283_60	MCEM1	Q8IX19	ENSG00000183019	19	7677088	7679829
MCF2L	13934_3	MCF2L	O15068	ENSG00000126217	13	112894377	113099739
MCL1	9819_110	Mcl-1	Q07820	ENSG00000143384	1	150574550	150579738
MCL1	10396_6	Mcl-1	Q07820	ENSG00000143384	1	150574550	150579738
MCM6	9897_9	MCM6	Q14566	ENSG00000076003	2	135839625	135876426
MCTS1	12488_9	MCTS1	Q9ULC4	ENSG00000232119	X	120594010	120621159
MDGA1	16900_29	MDGA1	Q8NFP4	ENSG00000112139	6	37630678	37699306
MDGA2	19372_7	MDGA2	Q7Z553	ENSG00000139915	14	46840091	47674954
MDH1	3853_56	MDHC	P40925	ENSG00000014641	2	63588608	63607197
MDH2	15534_26	Malate dehydrogenase 2	P40926	ENSG00000146701	7	76048050	76067508
MDK	2911_27	Midkine	P21741	ENSG00000110492	11	46380755	46383837
MDM1	7898_29	MDM1	Q8TC05	ENSG00000111554	12	68272442	68332381
MDM2	13228_75	MDM2	Q00987	ENSG00000135679	12	68808175	68850686
MDM4	13229_20	MDM4	O15151	ENSG00000198625	1	204516378	204558120
MECP2	19108_50	MECP2	P51608	ENSG00000169057	X	154021573	154137103
MED1	3892_21	MED-1	Q15648	ENSG00000125686	17	39404284	39451286
MED4	14021_81	MED4	Q9NPJ6	ENSG00000136146	13	48053322	48095131
MEF2C	8933_84	MEF2C	Q06413	ENSG00000081189	5	88717116	88904257
MEGF10	11168_3	MEG10	Q96KG7	ENSG00000145794	5	127290830	127465737
MEMO1	19110_6	MEMO1	Q9Y316	ENSG00000162959	2	31865059	32011230
MENT	5744_12	CA056	Q9BUN1	ENSG00000143443	1	151047751	151051986
MEOX2	18259_15	MEOX2	P50222	ENSG00000106511	7	15611211	15686812
MEPE	3209_69	MEPE	Q9NQ76	ENSG00000152595	4	87821410	87846817
MESDC2	15299_102	MESD2	Q14696	ENSG00000117899	15	80946289	80989828
MET	2837_3	Met	P08581	ENSG00000105976	7	116672389	116798386
METAP1	3210_1	METAP1	P53582	ENSG00000164024	4	98995619	99062813
METAP2	3170_6	AMPM2	P50579	ENSG00000111142	12	95473519	95515839
METTL1	12514_16	METTL1	Q9UBP6	ENSG00000037897	12	57768470	57772793
METTL24	9470_15	MET24	Q5JXM2	ENSG00000053328	6	110245927	110358272
MFAP1	5606_24	MFAP1	P55081	ENSG00000140259	15	43804491	43824802
MFAP2	10569_28	MFAP2	P55001	ENSG00000117122	1	16974501	16980835
MFAP2	9294_45	MFAP2	P55001	ENSG00000117122	1	16974501	16980835
MFAP3L	8837_8	MFA3L	O75121	ENSG00000198948	4	169986596	170033031
MFAP4	5636_10	MFAP4	P55083	ENSG00000166482	17	19383441	19387240
MFAP5	6440_31	MFAP5	Q13361	ENSG00000197614	12	8637345	8662888
MFGE8	4455_89	MFGM	Q08431	ENSG00000140545	15	88898682	88913411
MFN1	11364_18	MFN1	Q8IWA4	ENSG00000171109	3	179347691	179394931
MFNG	5605_77	MFNG	O00587	ENSG00000100060	22	37469062	37486401
MFRP	3685_53	MFRP	Q9BY79	ENSG00000235718	11	119338941	119346673
MGA	11587_5	MGAP	Q8IWI9	ENSG00000174197	15	41621223	41773081
MGAT1	10571_14	MGAT1	P26572	ENSG00000131446	5	180784781	180815652
MGAT2	6909_40	MGAT2	Q10469	ENSG00000168282	14	49620794	49623481
MGAT4A	9392_43	MGT4A	Q9UM21	ENSG00000071073	2	98619105	98731126
MGAT4B	7141_21	MGT4B	Q9UQ53	ENSG00000161013	5	179797596	179806952
MGAT4C	7208_60	MGT4C	Q9UBM8	ENSG00000182050	12	85955665	86838904
MGP	6520_87	MGP	P08493	ENSG00000111341	12	14881180	14885926
MIA	2687_2	MIA	Q16674	ENSG00000261857	19	40771647	40777490
MICA	2730_58	MICA	Q29983	ENSG00000183214	6	31399783	31415315
MICALL2	12891_1	MILK2	Q8IY33	ENSG00000164877	7	1428464	1459502
MICB	5102_55	MICB	Q29980	ENSG00000227772	6	31494880	31511124
MID2	14249_68	TRIM1	Q9UJV3	ENSG00000080561	X	107825755	107931637
MIF	8221_19	MIF	P14174	ENSG00000240972	22	23894003	23895227
MILR1	11173_29	MILR1	Q7Z6M3	ENSG00000263304	17	64449036	64468643
MINOS1	7956_11	MOS1	Q5TGZ0	ENSG00000173436	1	19596976	19629821
MINPP1	5586_66	MINP1	Q9UNW1	ENSG00000107789	10	87504874	87553460
MIOX	13498_1	MIOX	Q9UGB7	[Q9UGB7-2	22	50486783	50490648
MLEC	6285_71	K0152	Q14165	ENSG00000110917	12	120686868	120701864
MLF1	17820_170	MLF1	P58340	ENSG00000178053	3	158571162	158607252
MLN	5631_83	MOTI	P12872	ENSG00000096395	6	33794672	33804011
MLYCD	11538_216	DCMC	O95822	ENSG00000103150	16	83899125	83927026
MMAB	17783_9	MMAB	Q96EY8	ENSG00000139428	12	109553736	109573874
MMEL1	3627_71	MMEL2	Q495T6	ENSG00000142606	1	2590638	2632990
MMGT1	7225_51	MMGT1	Q8N4V1	ENSG00000169446	X	135960588	135974029
MMP1	4924_32	MMP-1	P03956	ENSG00000196611	11	102789919	102798160
MMP10	8479_4	MMP-10	P09238	ENSG00000166670	11	102770502	102780628
MMP12	4496_60	MMP-12	P39900	ENSG00000110347	X	NA	NA
MMP13	4925_54	MMP-13	P45452	ENSG00000137745	11	102942994	102955734
MMP14	5002_76	MMP-14	P50281	ENSG00000157227	14	22836556	22849027
MMP16	5268_49	MMP-16	P51512	ENSG00000156103	8	88032008	88328025
MMP16	9719_145	MMP-16	P51512	ENSG00000156103	8	88032008	88328025
MMP17	2838_53	MMP-17	Q9ULZ9	ENSG00000198598	12	131828392	131851783
MMP19	6425_87	MMP19	Q99542	ENSG00000123342	12	55835432	55842966
MMP2	4160_49	MMP-2	P08253	ENSG00000087245	16	55389699	55506691
MMP20	15419_15	MMP20	O60882	ENSG00000137674	11	102576834	102625332
MMP3	2788_55	MMP-3	P08254	ENSG00000149968	11	102835800	102843803
MMP7	2789_26	MMP-7	P09237	ENSG00000137673	11	102520507	102530753
MMP8	9172_69	MMP-8	P22894	ENSG00000118113	11	102711794	102727050
MMP9	2579_17	MMP-9	P14780	ENSG00000100985	20	46008907	46016561
MMRN2	9723_105	EMILIN-3	Q9H8L6	ENSG00000173269	10	86935539	86969481
MNX1	9576_58	MNX1	P50219	ENSG00000130675	7	156994050	157010651
MOB1A	12426_19	MOL1B	Q9H8S9	ENSG00000114978	2	74152527	74178898
MOBKL1A	19177_7	MOL1A	Q7L9L4	ENSG00000173542	4	70902326	71022449
MOBKL3	19332_1	MOBL3	Q9Y3A3	ENSG00000115540	2	197515571	197553699
MOCS3	14229_5	MOCS3	O95396	ENSG00000124217	20	50958825	50963931
MOG	15619_49	MOG	Q16653	ENSG00000232641	6	29656980	29672372
MORF4L1	18193_165	MO4L1	Q9UBU8	ENSG00000185787	15	78810486	78898133
MPDZ	14036_116	MPDZ	O75970	ENSG00000107186	9	13105703	13279590
MPG	12438_127	3MG	P29372	ENSG00000103152	16	77006	85853
MPL	3473_78	Thrombopoietin Receptor	P40238	ENSG00000117400	1	43337848	43352772
MPO	2580_83	Myeloperoxidase	P05164	ENSG00000005381	17	58269855	58280935
MPP6	13490_1	MPP6	Q9NZW5	ENSG00000105926	7	24573267	24694193
MPP7	12732_13	MPP7	Q5T2T1	ENSG00000150054	10	28050992	28334486
MPPED2	19153_53	MPPD2	Q15777	ENSG00000066382	11	30384492	30586872
MPST	12686_15	THTM	P25325	ENSG00000128309	22	37019634	37029822
MPZ	10615_18	MYP0	P25189	ENSG00000158887	1	161304734	161309972
MPZL1	16845_15	MPZL1	O95297	ENSG00000197965	1	167721191	167791919
MPZL2	9372_157	MPZL2	O60487	ENSG00000149573	11	118253402	118264536
MRAP	7895_108	MRAP	Q8TCY5	ENSG00000170262	21	32291812	32314784
MRAP2	10889_2	MRAP2	Q96G30	ENSG00000135324	6	84033755	84090881
MRAS	18297_8	RASM	O14807	ENSG00000158186	3	138347647	138405534
MRC1	2637_77	Macrophage mannose receptor	P22897	ENSG00000120586	10	17809343	17911170
MRC2	3041_55	MRC2	Q9UBG0	ENSG00000011028	17	62627400	62693597
MRE11A	11319_106	MRE11	P49959	ENSG00000020922	11	94415570	94493885
MREG	19145_4	MREG	Q8N565	ENSG00000118242	2	215942804	216034096
MRPL14	8021_59	RM14	Q6P1L8	ENSG00000180992	6	44113453	44127457
MRPL2	19132_1	RM02	Q5T653	ENSG00000112651	6	43054028	43059806
MRPL21	8942_2	RM21	Q7Z2W9	ENSG00000197345	11	68891275	68903835
MRPL32	7982_10	RM32	Q9BYC8	ENSG00000106591	7	42932199	42948958
MRPL33	13453_2	RM33	O75394	ENSG00000243147	2	27771716	27988087
MRPL34	6933_20	RM34	Q9BQ48	ENSG00000130312	19	17292608	17306843
MRPL52	7123_25	RM52	Q86TS9	ENSG00000172590	14	22829878	22835037
MRPL55	11135_5	RM55	Q7Z7F7	ENSG00000162910	1	228106678	228109312
MRRF	12355_223	RRFM	Q96E11	ENSG00000148187	9	122264602	122331343
MRVI1	8255_34	MRVI1	Q9Y6F6	ENSG00000072952	11	10573090	10693988
MSH2	9739_4	MSH2	P43246	ENSG00000095002	2	47402968	47562311
MSLN	3893_64	Mesothelin	Q13421	ENSG00000102854	16	760761	768865
MSMB	10620_21	PSP-94	P08118	ENSG00000138294	10	46033306	46046269
MSMP	8080_24	PSMP	Q1L6U9	ENSG00000215183	9	35752989	35756613
MSN	5009_11	Moesin	P26038	ENSG00000147065	X	65588377	65741931
MSR1	15533_97	Macrophage scavenger receptor	P21757	ENSG00000038945	8	16107877	16567490
MSR1	11207_3	Macrophage scavenger receptor	P21757	ENSG00000038945	8	16107877	16567490
MSRA	7137_8	MSRA	Q9UJ68	ENSG00000175806	8	10054267	10428891
MSRB2	16877_19	MSRB2	Q9Y3D2	ENSG00000148450	10	23095505	23122013
MSRB3	7824_88	MSRB3	Q8IXL7	ENSG00000174099	12	65278642	65488244
MST1	4407_10	MSP	P26927	ENSG00000173531	3	49683946	49689501
MST1R	2640_3	MSP R	Q04912	ENSG00000164078	3	49887001	49903873
MSTN	14583_49	Myostatin	O14793	ENSG00000138379	2	190055696	190062729
MTAP	9910_9	MTAP	Q13126	ENSG00000099810	9	21802542	21937651
MTCP1	19374_72	MTCP1	P56278	ENSG00000268700	X	NA	NA
MTFR1	9095_5	MTFR1	Q15390	ENSG00000066855	8	65644733	65771261
MTHFD1	12575_30	C1TC	P11586	ENSG00000100714	14	64388030	64463457
MTHFD2	18321_38	MTDC	P13995	ENSG00000065911	2	74198561	74217565
MTHFS	14107_1	MTHFS	P49914	ENSG00000136371	15	79833584	79897379
MTHFSD	19129_15	MTHFSD	Q2M296	ENSG00000103248	16	86530175	86555235
MTIF3	7852_9	IF3M	Q9H2K0	ENSG00000122033	13	27435642	27450591
MTMR1	11167_6	MTMR1	Q13613	ENSG00000269759	X	NA	NA
MTMR6	12536_46	MTMR6	Q9Y217	ENSG00000139505	13	25246200	25288009
MTPAP	9028_5	PAPD1	Q9NVV4	ENSG00000107951	10	30309800	30374448
MTRF1L	11134_30	RF1ML	Q9UGC7	ENSG00000112031	6	152987361	153002685
MTX2	8839_4	Metaxin-2	O75431	ENSG00000128654	2	176269394	176338025
MUC16	15565_102	CA125	Q8WXI7	ENSG00000181143	19	8848843	8981342
MUCL1	10975_59	MUCL1	Q96DR8	ENSG00000172551	12	54830518	54858393
MUL1	9315_16	MUL1	Q969V5	ENSG00000090432	1	20499447	20508161
MUSK	11547_84	MUSK	O15146	ENSG00000030304	9	110668770	110801620
MUTED	19116_1	MUTED	Q8TDH9	ENSG00000188428	6	8013567	8064396
MUTYH	10030_8	MutY homolog	Q9UIF7	ENSG00000132781	1	45329162	45340470
MVD	18422_41	ERG19	P53602	ENSG00000167508	16	88651934	88663161
MVK	11391_69	MVK	Q03426	ENSG00000110921	12	109573254	109598117
MX1	17460_51	Mx1	P20591	ENSG00000157601	21	41420303	41459214
MXI1	9035_2	MXI1	P50539	ENSG00000119950	10	110207604	110287365
MXRA7	8005_1	MXRA7	P84157	ENSG00000182534	17	76672550	76711016
MXRA8	10521_10	MXRA8	Q9BRK3	ENSG00000162576	1	1352688	1361777
MYB	11618_83	MYB	P10242	ENSG00000118513	6	135181314	135219173
MYBPC1	7648_9	MYPC1	Q00872	ENSG00000196091	12	101568352	101686018
MYC	10362_35	c-Myc	P01106	ENSG00000136997	8	127735433	127741434
MYCBP	19250_50	MYCBP	Q99417	ENSG00000214114	1	38862963	38874105
MYCT1	13541_1	MYCT1	Q8N699	ENSG00000120279	6	152697894	152724567
MYDGF	9248_36	CS010	Q969H8	ENSG00000074842	19	4641374	4670362
MYL12A	19373_3	MLRM	P19105	ENSG00000101608	18	3247480	3256236
MYL12B	19122_47	ML12B	O14950	ENSG00000118680	18	3261908	3278284
MYL3	18376_19	Myosin light chain 1	P08590	ENSG00000160808	3	46857871	46882169
MYL5	19286_30	MLR5	Q02045	ENSG00000215375	4	673579	682033
